round,playerId,mapX,mapY,value,numberStars,score
1,A4,2,6,7,0,7
1,A3,9,8,1,0,1
1,A4,9,11,2,0,2
1,A1,2,5,9,3,9
1,A2,5,2,2,0,2
1,A5,2,7,3,0,3
1,A4,5,11,6,0,6
1,A1,11,9,0,0,0
1,A3,3,9,3,1,3
1,A2,9,7,1,0,1
1,A5,12,3,1,0,1
1,A1,12,2,1,2,1
1,A2,2,7,3,0,3
1,A3,5,4,13,1,13
1,A5,5,6,3,0,3
2,A2,2,5,9,3,9
2,A5,12,2,1,0,1
2,A1,2,5,9,3,9
2,A4,2,5,9,1,9
2,A2,9,8,1,0,1
2,A5,2,5,9,0,9
2,A1,12,2,1,0,1
2,A3,5,1,2,5,2
2,A4,12,2,1,0,1
2,A2,13,14,2,0,2
2,A5,3,9,3,0,3
2,A3,5,4,13,0,13
2,A1,11,10,4,5,4
2,A4,13,8,51,4,51
2,A3,9,8,1,5,1
3,A4,13,8,51,5,51
3,A1,2,5,9,5,9
3,A2,2,1,46,5,46
3,A4,11,10,4,0,4
3,A5,11,10,4,0,4
3,A2,12,6,0,0,0
3,A3,5,4,13,0,13
3,A5,2,5,9,0,9
3,A4,9,5,3,0,3
3,A1,11,10,4,2,4
3,A2,4,10,1,3,1
3,A3,3,9,3,5,3
3,A5,9,8,1,0,1
3,A1,3,10,3,2,3
3,A3,4,13,0,5,0
4,A2,8,3,2,0,2
4,A4,13,8,51,5,51
4,A5,2,5,9,0,9
4,A1,2,5,9,5,9
4,A3,4,4,45,0,45
4,A4,4,13,0,0,0
4,A2,4,3,0,0,0
4,A4,6,7,1,0,1
4,A1,12,2,1,0,1
4,A5,4,13,0,0,0
4,A3,7,4,0,5,0
4,A2,10,1,44,5,44
4,A1,7,4,0,0,0
4,A5,2,1,46,0,46
4,A3,2,5,9,5,9
5,A1,2,5,9,5,9
5,A2,13,8,51,3,51
5,A5,2,1,46,0,46
5,A3,4,4,45,0,45
5,A4,13,8,51,5,51
5,A2,14,13,20,2,20
5,A5,13,8,51,0,51
5,A4,6,3,2,0,2
5,A1,1,13,6,3,6
5,A3,1,3,3,5,3
5,A2,14,14,28,3,28
5,A4,9,13,3,0,3
5,A5,10,1,44,0,44
5,A1,5,11,6,5,6
5,A3,12,4,14,3,14
6,A5,2,1,46,0,46
6,A4,13,13,2,0,2
6,A1,2,5,9,5,9
6,A3,4,4,45,0,45
6,A4,13,14,2,0,2
6,A5,5,1,2,0,2
6,A2,13,8,51,0,51
6,A4,13,8,51,4,51
6,A3,12,4,14,1,14
6,A5,13,8,51,0,51
6,A2,6,11,0,0,0
6,A3,9,7,1,5,1
6,A1,10,1,44,5,44
6,A2,8,10,2,0,2
6,A1,9,1,3,0,3
7,A4,13,8,51,3,51
7,A1,10,1,44,5,44
7,A3,4,4,45,0,45
7,A5,12,8,3,0,3
7,A2,13,8,51,1,51
7,A5,13,8,51,0,51
7,A4,14,13,20,4,20
7,A1,1,1,1,0,1
7,A5,2,1,46,0,46
7,A3,8,11,53,0,53
7,A4,14,14,28,5,28
7,A2,0,11,2,0,2
7,A1,2,5,9,5,9
7,A2,0,5,6,1,6
7,A3,13,13,2,5,2
8,A2,13,8,51,5,51
8,A1,10,1,44,5,44
8,A5,2,5,9,0,9
8,A1,13,8,51,5,51
8,A4,13,8,51,5,51
8,A2,14,0,43,5,43
8,A3,4,4,45,0,45
8,A5,10,1,44,0,44
8,A4,14,13,20,4,20
8,A2,12,0,2,2,2
8,A5,2,1,46,0,46
8,A4,14,14,28,4,28
8,A3,8,11,53,0,53
8,A1,5,8,1,0,1
8,A3,9,7,1,5,1
9,A1,13,8,51,5,51
9,A4,10,1,44,5,44
9,A2,13,8,51,2,51
9,A3,8,11,53,0,53
9,A4,13,8,51,5,51
9,A1,10,1,44,5,44
9,A5,2,1,46,0,46
9,A2,14,0,43,3,43
9,A4,14,13,20,5,20
9,A5,13,8,51,0,51
9,A1,13,5,1,0,1
9,A3,5,4,13,0,13
9,A5,10,1,44,0,44
9,A2,0,5,6,2,6
9,A3,4,4,45,0,45
